愛育,あいいく,aiiku
縦揺れ,たてゆれ,tateyure
縦割り,たてわり,tatewari
蓼,たで,tade
多読,たどく,tadoku
棚,たな,tana
棚上げ,たなあげ,tanaage
棚卸し,たなおろし,tanaoroshi
店子,たなこ,tanako
たなご,たなご,tanago
七夕,たなばた,tanabata
谷,たに,tani
谷あい,たにあい,taniai
谷川,たにがわ,tanigawa
谷底,たにそこ,tanisoko
谷間,たにま,tanima
他人,たにん,tanin
狸,たぬき,tanuki
種,たね,tane
種油,たねあぶら,taneabura
種芋,たねいも,taneimo
種切れ,たねぎれ,tanegire
種蒔き,たねまき,tanemaki
多年,たねん,tanen
田畑,たはた,tahata
多発,たはつ,tahatsu
束,たば,taba
多売,たばい,tabai
たばこ,たばこ,tabako
旅,たび,tabi
旅先,たびさき,tabisaki
旅鳥,たびどり,tabidori
旅人,たびびと,tabibito
食べ頃,たべごろ,tabegoro
食べ物,たべもの,tabemono
弾,たま,tama
玉串,たまぐし,tamagushi
卵,たまご,tamago
卵焼き,たまごやき,tamagoyaki
魂,たましい,tamashii
玉突き,たまつき,tamatsuki
玉葱,たまねぎ,tamanegi
玉虫,たまむし,tamamushi
賜物,たまもの,tamamono
溜まり場,たまりば,tamariba
民,たみ,tami
為,ため,tame
溜め息,ためいき,tameiki
溜め池,ためいけ,tameike
多面,ためん,tamen
たも,たも,tamo
袂,たもと,tamoto
便り,たより,tayori
鱈,たら,tara
盥,たらい,tarai
鱈子,たらこ,tarako
他力,たりき,tariki
樽,たる,taru
垂木,たるき,taruki
たれ,たれ,tare
垂れ幕,たれまく,taremaku
たわい,たわい,tawai
戯言,たわごと,tawagoto
束子,たわし,tawashi
俵,たわら,tawara
痰,たん,tan
炭化,たんか,tanka
嘆願,たんがん,tangan
短期,たんき,tanki
探検,たんけん,tanken
単元,たんげん,tangen
単語,たんご,tango
探査,たんさ,tansa
探索,たんさく,tansaku
単産,たんさん,tansan
短冊,たんざく,tanzaku
短資,たんし,tanshi
短針,たんしん,tanshin
箪笥,たんす,tansu
淡水,たんすい,tansui
丹精,たんせい,tansei
単線,たんせん,tansen
炭素,たんそ,tanso
嘆息,たんそく,tansoku
単体,たんたい,tantai
短大,たんだい,tandai
探知,たんち,tanchi
探偵,たんてい,tantei
丹田,たんでん,tanden
単独,たんどく,tandoku
担任,たんにん,tannin
短絡,たんらく,tanraku
鍛錬,たんれん,tanren
代,だい,dai
代案,だいあん,daian
第一義,だいいちぎ,daiichigi
代価,だいか,daika
大寒,だいかん,daikan
大学,だいがく,daigaku
大吉,だいきち,daikichi
代金,だいきん,daikin
代議員,だいぎいん,daigiin
代議士,だいぎし,daigishi
大工,だいく,daiku
台形,だいけい,daikei
大根,だいこん,daikon
醍醐味,だいごみ,daigomi
台座,だいざ,daiza
題材,だいざい,daizai
台紙,だいし,daishi
大卒,だいそつ,daisotsu
代替,だいたい,daitai
大腿部,だいたいぶ,daitaibu
代打,だいだ,daida
代々,だいだい,daidai
台地,だいち,daichi
代読,だいどく,daidoku
台所,だいどころ,daidokoro
大納言,だいなごん,dainagon
台秤,だいばかり,daibakari
代筆,だいひつ,daihitsu
大仏,だいぶつ,daibutsu
代弁,だいべん,daiben
台本,だいほん,daihon
題名,だいめい,daimei
代名詞,だいめいし,daimeishi
題目,だいもく,daimoku
代役,だいやく,daiyaku
代理,だいり,dairi
大理石,だいりせき,dairiseki
代理人,だいりにん,dairinin
唾液,だえき,daeki
楕円,だえん,daen
打開,だかい,dakai
駄菓子,だがし,dagashi
濁音,だくおん,dakuon
濁点,だくてん,dakuten
妥結,だけつ,daketsu
打撃,だげき,dageki
駄作,ださく,dasaku
打算,ださん,dasan
出汁,だし,dashi
出し入れ,だしいれ,dashiire
出し物,だしもの,dashimono
打診,だしん,dashin
惰性,だせい,dasei
打席,だせき,daseki
打線,だせん,dasen
蛇足,だそく,dasoku
駄賃,だちん,dachin
脱,だつ,datsu
脱衣,だつい,datsui
脱獄,だつごく,datsugoku
脱税,だつぜい,datsuzei
脱落,だつらく,datsuraku
脱輪,だつりん,datsurin
伊達巻き,だてまき,datemaki
打点,だてん,daten
打電,だでん,daden
壁蝨,だに,dani
打破,だは,daha
拿捕,だほ,daho
打撲,だぼく,daboku
惰眠,だみん,damin
堕落,だらく,daraku
打率,だりつ,daritsu
達磨,だるま,daruma
誰,だれ,dare
団,だん,dan
弾圧,だんあつ,danatsu
団員,だんいん,danin
団塊,だんかい,dankai
弾劾,だんがい,dangai
弾丸,だんがん,dangan
暖気,だんき,danki
談議,だんぎ,dangi
団結,だんけつ,danketsu
断言,だんげん,dangen
弾痕,だんこん,dankon
団子,だんご,dango
段差,だんさ,dansa
断罪,だんざい,danzai
男子,だんし,danshi
断水,だんすい,dansui
弾性,だんせい,dansei
断線,だんせん,dansen
断絶,だんぜつ,danzetsu
断続,だんぞく,danzoku
団体,だんたい,dantai
団地,だんち,danchi
断定,だんてい,dantei
段取り,だんどり,dandori
旦那,だんな,danna
断熱,だんねつ,dannetsu
断念,だんねん,dannen
弾薬,だんやく,danyaku
段落,だんらく,danraku
団欒,だんらん,danran
暖炉,だんろ,danro
談話,だんわ,danwa
治安,ちあん,chian
地位,ちい,chii
地域,ちいき,chiiki
地衣類,ちいるい,chiirui
知恵,ちえ,chie
遅延,ちえん,chien
知恩,ちおん,chion
地下,ちか,chika
地階,ちかい,chikai
知覚,ちかく,chikaku
地下茎,ちかけい,chikakei
近頃,ちかごろ,chikagoro
地下鉄,ちかてつ,chikatetsu
近場,ちかば,chikaba
近道,ちかみち,chikamichi
力,ちから,chikara
力添え,ちからぞえ,chikarazoe
置換,ちかん,chikan
違い棚,ちがいだな,chigaidana
地学,ちがく,chigaku
知己,ちき,chiki
千木,ちぎ,chigi
地銀,ちぎん,chigin
地区,ちく,chiku
蓄音機,ちくおんき,chikuonki
畜産,ちくさん,chikusan
蓄財,ちくざい,chikuzai
蓄積,ちくせき,chikuseki
乳首,ちくび,chikubi
竹輪,ちくわ,chikuwa
千草,ちぐさ,chigusa
地形,ちけい,chikei
地検,ちけん,chiken
遅刻,ちこく,chikoku
稚児,ちご,chigo
地裁,ちさい,chisai
治山,ちさん,chisan
血潮,ちしお,chishio
知識,ちしき,chishiki
地質,ちしつ,chishitsu
知新,ちしん,chishin
治水,ちすい,chisui
地勢,ちせい,chisei
地政学,ちせいがく,chiseigaku
遅滞,ちたい,chitai
乳,ちち,chichi
父上,ちちうえ,chichiue
父親,ちちおや,chichioya
父方,ちちかた,chichikata
膣,ちつ,chitsu
地底,ちてい,chitei
地点,ちてん,chiten
千鳥,ちどり,chidori
地熱,ちねつ,chinetsu
血の気,ちのけ,chinoke
乳飲み子,ちのみご,chinomigo
遅配,ちはい,chihai
ちび,ちび,chibi
乳房,ちぶさ,chibusa
地平,ちへい,chihei
地歩,ちほ,chiho
粽,ちまき,chimaki
巷,ちまた,chimata
血眼,ちまなこ,chimanako
血豆,ちまめ,chimame
血道,ちみち,chimichi
地名,ちめい,chimei
知名度,ちめいど,chimeido
治癒,ちゆ,chiyu
千代,ちよ,chiyo
千代紙,ちよがみ,chiyogami
地理,ちり,chiri
塵紙,ちりがみ,chirigami
縮緬,ちりめん,chirimen
亭,ちん,chin
賃上げ,ちんあげ,chinage
鎮圧,ちんあつ,chinatsu
沈下,ちんか,chinka
賃金,ちんぎん,chingin
鎮魂,ちんこん,chinkon
鎮座,ちんざ,chinza
沈静,ちんせい,chinsei
沈潜,ちんせん,chinsen
沈滞,ちんたい,chintai
沈殿,ちんでん,chinden
陳列,ちんれつ,chinretsu
対,つい,tsui
追憶,ついおく,tsuioku
追加,ついか,tsuika
追記,ついき,tsuiki
対句,ついく,tsuiku
追撃,ついげき,tsuigeki
対語,ついご,tsuigo
追試,ついし,tsuishi
追伸,ついしん,tsuishin
追跡,ついせき,tsuiseki
衝立,ついたて,tsuitate
追突,ついとつ,tsuitotsu
追認,ついにん,tsuinin
追肥,ついひ,tsuihi
追尾,ついび,tsuibi
墜落,ついらく,tsuiraku
杖,つえ,tsue
塚,つか,tsuka
使い出,つかいで,tsukaide
使い物,つかいもの,tsukaimono
束の間,つかのま,tsukanoma
つがい,つがい,tsugai
月,つき,tsuki
月後れ,つきおくれ,tsukiokure
付ききり,つききり,tsukikiri
月極め,つきぎめ,tsukigime
月ごと,つきごと,tsukigoto
付添,つきそい,tsukisoi
月中,つきなか,tsukinaka
月日,つきひ,tsukihi
付き人,つきびと,tsukibito
月別,つきべつ,tsukibetsu
月見,つきみ,tsukimi
付き物,つきもの,tsukimono
築山,つきやま,tsukiyama
突き指,つきゆび,tsukiyubi
月夜,つきよ,tsukiyo
月割り,つきわり,tsukiwari
次,つぎ,tsugi
接ぎ木,つぎき,tsugiki
継ぎ接ぎ,つぎはぎ,tsugihagi
継ぎ目,つぎめ,tsugime
机,つくえ,tsukue
土筆,つくし,tsukushi
佃煮,つくだに,tsukudani
旁,つくり,tsukuri
作り手,つくりて,tsukurite
鶇,つぐみ,tsugumi
付け根,つけね,tsukene
付け目,つけめ,tsukeme
漬け物,つけもの,tsukemono
告げ口,つげぐち,tsugeguchi
蔦,つた,tsuta
土,つち,tsuchi
槌音,つちおと,tsuchioto
土偏,つちへん,tsuchihen
筒,つつ,tsutsu
筒そで,つつそで,tsutsusode
筒抜け,つつぬけ,tsutsunuke
堤,つつみ,tsutsumi
つて,つて,tsute
勉,つとめ,tsutome
勤め人,つとめにん,tsutomenin
都度,つど,tsudo
綱,つな,tsuna
つなぎ,つなぎ,tsunagi
繋ぎ目,つなぎめ,tsunagime
綱具,つなぐ,tsunagu
綱引き,つなひき,tsunahiki
津波,つなみ,tsunami
常,つね,tsune
角,つの,tsuno
角笛,つのぶえ,tsunobue
唾,つば,tsuba
椿,つばき,tsubaki
翼,つばさ,tsubasa
燕,つばめ,tsubame
粒,つぶ,tsubu
粒揃い,つぶぞろい,tsubuzoroi
粒選り,つぶより,tsubuyori
坪,つぼ,tsubo
蕾,つぼみ,tsubomi
妻,つま,tsuma
夫恋,つまごい,tsumagoi
爪先,つまさき,tsumasaki
罪,つみ,tsumi
積み木,つみき,tsumiki
摘み草,つみくさ,tsumikusa
積立,つみたて,tsumitate
積み荷,つみに,tsumini
紬,つむぎ,tsumugi
爪,つめ,tsume
爪痕,つめあと,tsumeato
詰め襟,つめえり,tsumeeri
艶,つや,tsuya
梅雨,つゆ,tsuyu
梅雨明け,つゆあけ,tsuyuake
梅雨入り,つゆいり,tsuyuiri
強腰,つよごし,tsuyogoshi
強火,つよび,tsuyobi
面,つら,tsura
面当て,つらあて,tsuraate
面構え,つらがまえ,tsuragamae
氷柱,つらら,tsurara
釣,つり,tsuri
吊り上げ,つりあげ,tsuriage
釣り糸,つりいと,tsuriito
吊り革,つりかわ,tsurikawa
釣り鐘,つりがね,tsurigane
釣り具,つりぐ,tsurigu
釣り竿,つりざお,tsurizao
釣り銭,つりせん,tsurisen
吊り橋,つりばし,tsuribashi
釣り針,つりばり,tsuribari
釣り人,つりびと,tsuribito
釣り堀,つりぼり,tsuribori
吊り輪,つりわ,tsuriwa
蔓,つる,tsuru
蔓草,つるくさ,tsurukusa
鶴嘴,つるはし,tsuruhashi
釣瓶,つるべ,tsurube
連れ合い,つれあい,tsureai
つわもの,つわもの,tsuwamono
つわり,つわり,tsuwari
手垢,てあか,teaka
手足,てあし,teashi
手当て,てあて,teate
手編み,てあみ,teami
手洗い,てあらい,tearai
低,てい,tei
低圧,ていあつ,teiatsu
提案,ていあん,teian
定員,ていいん,teiin
庭園,ていえん,teien
低温,ていおん,teion
低下,ていか,teika
定款,ていかん,teikan
停学,ていがく,teigaku
提起,ていき,teiki
定義,ていぎ,teigi
提携,ていけい,teikei
締結,ていけつ,teiketsu
定見,ていけん,teiken
低減,ていげん,teigen
定刻,ていこく,teikoku
体裁,ていさい,teisai
偵察,ていさつ,teisatsu
停止,ていし,teishi
挺身,ていしん,teishin
訂正,ていせい,teisei
定説,ていせつ,teisetsu
停戦,ていせん,teisen
提訴,ていそ,teiso
停滞,ていたい,teitai
邸宅,ていたく,teitaku
低地,ていち,teichi
定置網,ていちあみ,teichiami
定点,ていてん,teiten
停電,ていでん,teiden
帝都,ていと,teito
提督,ていとく,teitoku
程度,ていど,teido
定年,ていねん,teinen
停泊,ていはく,teihaku
剃髪,ていはつ,teihatsu
定番,ていばん,teiban
底部,ていぶ,teibu
底辺,ていへん,teihen
低木,ていぼく,teiboku
弟妹,ていまい,teimai
低迷,ていめい,teimei
底面,ていめん,teimen
締約,ていやく,teiyaku
低落,ていらく,teiraku
低利,ていり,teiri
鼎立,ていりつ,teiritsu
手入れ,ていれ,teire
定例,ていれい,teirei
低廉,ていれん,teiren
手打ち,てうち,teuchi
手負い,ておい,teoi
手桶,ておけ,teoke
手落ち,ておち,teochi
手織り,ており,teori
手加減,てかげん,tekagen
手掛かり,てがかり,tegakari
手書き,てがき,tegaki
手形,てがた,tegata
手紙,てがみ,tegami
手柄,てがら,tegara
敵,てき,teki
敵意,てきい,tekii
適温,てきおん,tekion
敵国,てきこく,tekikoku
適材,てきざい,tekizai
敵視,てきし,tekishi
適性,てきせい,tekisei
敵性語,てきせいご,tekiseigo
敵対,てきたい,tekitai
敵地,てきち,tekichi
摘発,てきはつ,tekihatsu
適否,てきひ,tekihi
適役,てきやく,tekiyaku
適齢期,てきれいき,tekireiki
手際,てぎわ,tegiwa
手癖,てくせ,tekuse
手配り,てくばり,tekubari
手首,てくび,tekubi
天蚕糸,てぐす,tegusu
手口,てぐち,teguchi
梃子,てこ,teko
梃入れ,てこいれ,tekoire
手漕ぎ,てこぎ,tekogi
手心,てごころ,tegokoro
手応え,てごたえ,tegotae
手先,てさき,tesaki
手探り,てさぐり,tesaguri
手提げ,てさげ,tesage
手触り,てざわり,tezawari
手下,てした,teshita
手漉き,てすき,tesuki
手摺り,てすり,tesuri
手製,てせい,tesei
手出し,てだし,tedashi
手助け,てだすけ,tedasuke
手立て,てだて,tedate
手玉,てだま,tedama
手練,てだれ,tedare
手違い,てちがい,techigai
鉄,てつ,tetsu
手番,てつがい,tetsugai
哲学,てつがく,tetsugaku
手付き,てつき,tetsuki
手付け,てつけ,tetsuke
鉄材,てつざい,tetsuzai
鉄製,てつせい,tetsusei
鉄瓶,てつびん,tetsubin
鉄分,てつぶん,tetsubun
徹夜,てつや,tetsuya
鉄腕,てつわん,tetsuwan
手直し,てなおし,tenaoshi
手並み,てなみ,tenami
手習い,てならい,tenarai
手抜かり,てぬかり,tenukari
手抜き,てぬき,tenuki
手拭い,てぬぐい,tenugui
手の平,てのひら,tenohira
手配,てはい,tehai
手羽,てば,teba
手引き,てびき,tebiki
手拭き,てふき,tefuki
手袋,てぶくろ,tebukuro
手振り,てぶり,teburi
手偏,てへん,tehen
手解き,てほどき,tehodoki
手本,てほん,tehon
手間,てま,tema
手前,てまえ,temae
手招き,てまねき,temaneki
手間隙,てまひま,temahima
手回し,てまわし,temawashi
手回り,てまわり,temawari
手持ち,てもち,temochi
手元,てもと,temoto
手役,てやく,teyaku
寺,てら,tera
寺子屋,てらこや,terakoya
照り焼き,てりやき,teriyaki
手分け,てわけ,tewake
典,てん,ten
転移,てんい,teni
店員,てんいん,tenin
添加,てんか,tenka
展開,てんかい,tenkai
天下一,てんかいち,tenkaichi
点画,てんかく,tenkaku
転換,てんかん,tenkan
転記,てんき,tenki
転勤,てんきん,tenkin
天狗,てんぐ,tengu
天草,てんぐさ,tengusa
典型,てんけい,tenkei
点検,てんけん,tenken
点呼,てんこ,tenko
篆刻,てんこく,tenkoku
天国,てんごく,tengoku
点差,てんさ,tensa
転載,てんさい,tensai
添削,てんさく,tensaku
点在,てんざい,tenzai
天使,てんし,tenshi
転身,てんしん,tenshin
転生,てんせい,tensei
転籍,てんせき,tenseki
転戦,てんせん,tensen
天体,てんたい,tentai
転地,てんち,tenchi
天敵,てんてき,tenteki
転轍機,てんてつき,tentetsuki
天丼,てんどん,tendon
転任,てんにん,tennin
天然,てんねん,tennen
点訳,てんやく,tenyaku
転落,てんらく,tenraku
展覧,てんらん,tenran
天理,てんり,tenri
出足,であし,deashi
泥岩,でいがん,deigan
泥酔,でいすい,deisui
出入り,でいり,deiri
でか,でか,deka
出稼ぎ,でかせぎ,dekasegi
出方,でかた,dekata
出掛け,でがけ,degake
出涸らし,でがらし,degarashi
出来合い,できあい,dekiai
出来心,できごころ,dekigokoro
出来事,できごと,dekigoto
出来高,できだか,dekidaka
出来栄え,できばえ,dekibae
出来物,できもの,dekimono
出口,でぐち,deguchi
出盛り,でさかり,desakari
出先,でさき,desaki
弟子,でし,deshi
弟子入り,でしいり,deshiiri
出だし,でだし,dedashi
出端,でばな,debana
出刃,でば,deba
出番,でばん,deban
出船,でふね,defune
出前,でまえ,demae
出窓,でまど,demado
出店,でみせ,demise
出物,でもの,demono
電圧,でんあつ,denatsu
電位,でんい,deni
田園,でんえん,denen
電化,でんか,denka
田楽,でんがく,dengaku
伝記,でんき,denki
電撃,でんげき,dengeki
電源,でんげん,dengen
伝言,でんごん,dengon
電算,でんさん,densan
電子,でんし,denshi
田紳,でんしん,denshin
伝説,でんせつ,densetsu
伝染,でんせん,densen
電卓,でんたく,dentaku
伝達,でんたつ,dentatsu
田地,でんち,denchi
電鉄,でんてつ,dentetsu
電熱,でんねつ,dennetsu
伝来,でんらい,denrai
伝令,でんれい,denrei
電炉,でんろ,denro
電話,でんわ,denwa
投網,とあみ,toami
問,とい,toi
吐息,といき,toiki
砥石,といし,toishi
都営,とえい,toei
都下,とか,toka
都会,とかい,tokai
時,とき,toki
鴇色,ときいろ,tokiiro
常磐,ときわ,tokiwa
常磐木,ときわぎ,tokiwagi
都議,とぎ,togi
徳,とく,toku
得意顔,とくいがお,tokuigao
得意先,とくいさき,tokuisaki
特技,とくぎ,tokugi
得策,とくさく,tokusaku
特撮,とくさつ,tokusatsu
特産,とくさん,tokusan
特使,とくし,tokushi
得失,とくしつ,tokushitsu
得心,とくしん,tokushin
特製,とくせい,tokusei
特設,とくせつ,tokusetsu
特選,とくせん,tokusen
督促,とくそく,tokusoku
特大,とくだい,tokudai
特定,とくてい,tokutei
得点,とくてん,tokuten
得度,とくど,tokudo
特派員,とくはいん,tokuhain
特売,とくばい,tokubai
特番,とくばん,tokuban
特筆,とくひつ,tokuhitsu
読本,とくほん,tokuhon
特務,とくむ,tokumu
匿名,とくめい,tokumei
徳目,とくもく,tokumoku
特約,とくやく,tokuyaku
徳利,とくり,tokuri
督励,とくれい,tokurei
戸口,とぐち,toguchi
戸車,とぐるま,toguruma
とぐろ,とぐろ,toguro
時計,とけい,tokei
吐血,とけつ,toketsu
刺,とげ,toge
床,とこ,toko
床上げ,とこあげ,tokoage
とこしえ,とこしえ,tokoshie
常夏,とこなつ,tokonatsu
床の間,とこのま,tokonoma
床屋,とこや,tokoya
所,ところ,tokoro
所書き,ところがき,tokorogaki
心太,ところてん,tokoroten
とさか,とさか,tosaka
外様,とざま,tozama
登山,とざん,tozan
登山口,とざんぐち,tozanguchi
年,とし,toshi
年上,としうえ,toshiue
年男,としおとこ,toshiotoko
年女,としおんな,toshionna
年嵩,としかさ,toshikasa
年越し,としこし,toshikoshi
年子,としご,toshigo
年頃,としごろ,toshigoro
年下,としした,toshishita
年半,としなか,toshinaka
年の瀬,としのせ,toshinose
年寄り,としより,toshiyori
都心,としん,toshin
渡世,とせい,tosei
都税,とぜい,tozei
途絶,とぜつ,tozetsu
屠蘇,とそ,toso
途端,とたん,totan
戸棚,とだな,todana
土地,とち,tochi
土地柄,とちがら,tochigara
凸,とつ,totsu
突撃,とつげき,totsugeki
徒弟,とてい,totei
都電,とでん,toden
椴,とど,todo
届,とどけ,todoke
届出,とどけいで,todokeide
隣り,となり,tonari
隣組,となりぐみ,tonarigumi
殿,との,tono
殿様,とのさま,tonosama
賭博,とばく,tobaku
鳶,とび,tobi
飛び石,とびいし,tobiishi
飛び入り,とびいり,tobiiri
鳶色,とびいろ,tobiiro
飛魚,とびうお,tobiuo
鳶口,とびぐち,tobiguchi
跳び箱,とびばこ,tobibako
飛び火,とびひ,tobihi
扉,とびら,tobira
都府県,とふけん,tofuken
徒歩,とほ,toho
戸前,とまえ,tomae
止まり木,とまりぎ,tomarigi
富,とみ,tomi
都民,とみん,tomin
留め金,とめがね,tomegane
留め具,とめぐ,tomegu
止め処,とめど,tomedo
留め針,とめばり,tomebari
供,とも,tomo
共食い,ともぐい,tomogui
灯し火,ともしび,tomoshibi
共倒れ,ともだおれ,tomodaore
友達,ともだち,tomodachi
寅,とら,tora
渡来,とらい,torai
虎の子,とらのこ,toranoko
虎の巻,とらのまき,toranomaki
酉,とり,tori
鳥居,とりい,torii
取り柄,とりえ,torie
取り口,とりくち,torikuchi
取組,とりくみ,torikumi
虜,とりこ,toriko
鳥小屋,とりごや,torigoya
取りざた,とりざた,torizata
都立,とりつ,toritsu
砦,とりで,toride
取留,とりとめ,toritome
鳥肉,とりにく,toriniku
酉の市,とりのいち,torinoichi
鳥肌,とりはだ,torihada
取り引き,とりひき,torihiki
鳥目,とりめ,torime
取れ高,とれだか,toredaka
吐露,とろ,toro
とろ火,とろび,torobi
とろみ,とろみ,toromi
薯蕷,とろろ,tororo
頓挫,とんざ,tonza
頓知,とんち,tonchi
問屋,とんや,tonya
度合い,どあい,doai
土管,どかん,dokan
度外視,どがいし,dogaishi
土器,どき,doki
度肝,どぎも,dogimo
毒,どく,doku
独学,どくがく,dokugaku
読後,どくご,dokugo
独裁,どくさい,dokusai
独身,どくしん,dokushin
毒性,どくせい,dokusei
独占,どくせん,dokusen
毒舌,どくぜつ,dokuzetsu
独善,どくぜん,dokuzen
毒素,どくそ,dokuso
どくだみ,どくだみ,dokudami
独断,どくだん,dokudan
毒血,どくち,dokuchi
読破,どくは,dokuha
独白,どくはく,dokuhaku
毒物,どくぶつ,dokubutsu
独文,どくぶん,dokubun
毒見,どくみ,dokumi
毒虫,どくむし,dokumushi
毒薬,どくやく,dokuyaku
独立,どくりつ,dokuritsu
髑髏,どくろ,dokuro
土建,どけん,doken
土下座,どげざ,dogeza
土質,どしつ,doshitsu
土星,どせい,dosei
土足,どそく,dosoku
土台,どだい,dodai
どちら,どちら,dochira
土手,どて,dote
どてら,どてら,dotera
どなた,どなた,donata
土瓶,どびん,dobin
土木,どぼく,doboku
土間,どま,doma
銅鑼声,どらごえ,doragoe
奴隷,どれい,dorei
泥,どろ,doro
泥縄,どろなわ,doronawa
泥沼,どろぬま,doronuma
度忘れ,どわすれ,dowasure
鈍,どん,don
鈍化,どんか,donka
鈍角,どんかく,donkaku
どんぐり,どんぐり,donguri
どん底,どんぞこ,donzoko
曇天,どんてん,donten
内縁,ないえん,naien
内科,ないか,naika
内海,ないかい,naikai
内角,ないかく,naikaku
内外,ないがい,naigai
内規,ないき,naiki
内径,ないけい,naikei
内国,ないこく,naikoku
内在,ないざい,naizai
内省,ないせい,naisei
内戦,ないせん,naisen
内諾,ないだく,naidaku
内地,ないち,naichi
内偵,ないてい,naitei
内紛,ないふん,naifun
内部,ないぶ,naibu
内分,ないぶん,naibun
内壁,ないへき,naiheki
内膜,ないまく,naimaku
内務,ないむ,naimu
内面,ないめん,naimen
内野,ないや,naiya
内乱,ないらん,nairan
内陸,ないりく,nairiku
苗,なえ,nae
苗木,なえぎ,naegi
苗床,なえどこ,naedoko
名折れ,なおれ,naore
中,なか,naka
中入り,なかいり,nakairi
仲買,なかがい,nakagai
中頃,なかごろ,nakagoro
中州,なかす,nakasu
仲違い,なかたがい,nakatagai
仲立ち,なかだち,nakadachi
中弛み,なかだるみ,nakadarumi
中継ぎ,なかつぎ,nakatsugi
中点,なかてん,nakaten
仲直り,なかなおり,nakanaori
中庭,なかにわ,nakaniwa
中日,なかび,nakabi
中程,なかほど,nakahodo
仲間,なかま,nakama
仲間内,なかまうち,nakamauchi
中幕,なかまく,nakamaku
中身,なかみ,nakami
中休み,なかやすみ,nakayasumi
中指,なかゆび,nakayubi
仲良し,なかよし,nakayoshi
長雨,ながあめ,nagaame
長居,ながい,nagai
長生き,ながいき,nagaiki
長唄,ながうた,nagauta
長靴,ながぐつ,nagagutsu
流し台,ながしだい,nagashidai
長袖,ながそで,nagasode
長旅,ながたび,nagatabi
長月,ながつき,nagatsuki
長年,ながねん,naganen
長持ち,ながもち,nagamochi
長屋,ながや,nagaya
長湯,ながゆ,nagayu
流れ弾,ながれだま,nagaredama
亡き後,なきあと,nakiato
泣き顔,なきがお,nakigao
亡き骸,なきがら,nakigara
泣き声,なきごえ,nakigoe
泣き言,なきごと,nakigoto
亡き人,なきひと,nakihito
泣きべそ,なきべそ,nakibeso
泣き虫,なきむし,nakimushi
凪,なぎ,nagi
渚,なぎさ,nagisa
なぎなた,なぎなた,naginata
慰み,なぐさみ,nagusami
なけなし,なけなし,nakenashi
投げ売り,なげうり,nageuri
投げ槍,なげやり,nageyari
名残り,なごり,nagori
情け,なさけ,nasake
梨,なし,nashi
茄子,なす,nasu
謎,なぞ,nazo
謎解き,なぞとき,nazotoki
謎々,なぞなぞ,nazonazo
鉈,なた,nata
菜種,なたね,natane
灘,なだ,nada
雪崩,なだれ,nadare
夏,なつ,natsu
捺印,なついん,natsuin
夏枯れ,なつがれ,natsugare
夏場,なつば,natsuba
夏ばて,なつばて,natsubate
夏物,なつもの,natsumono
撫斬,なでぎり,nadegiri
撫子,なでしこ,nadeshiko
七色,なないろ,nanairo
七草,ななくさ,nanakusa
七光,ななひかり,nanahikari
何,なに,nani
なにがし,なにがし,nanigashi
何事,なにごと,nanigoto
何物,なにもの,nanimono
名主,なぬし,nanushi
菜の花,なのはな,nanohana
名札,なふだ,nafuda
鍋,なべ,nabe
鍋蓋,なべぶた,nabebuta
生,なま,nama
名前,なまえ,namae
生菓子,なまがし,namagashi
生木,なまき,namaki
怠け者,なまけもの,namakemono
なまこ,なまこ,namako
生塵,なまごみ,namagomi
生魚,なまざかな,namazakana
生卵,なまたまご,namatamago
生煮え,なまにえ,namanie
生剥げ,なまはげ,namahage
生身,なまみ,namami
生物,なまもの,namamono
鉛,なまり,namari
並み,なみ,nami
波風,なみかぜ,namikaze
並木,なみき,namiki
並製,なみせい,namisei
涙,なみだ,namida
涙声,なみだごえ,namidagoe
波乗り,なみのり,naminori
波間,なみま,namima
なめこ,なめこ,nameko
納屋,なや,naya
名寄せ,なよせ,nayose
楢,なら,nara
奈落,ならく,naraku
習わし,ならわし,narawashi
なり,なり,nari
成り金,なりきん,narikin
形振り,なりふり,narifuri
鳴り物,なりもの,narimono
成り行き,なりゆき,nariyuki
生業,なりわい,nariwai
鳴子,なるこ,naruko
縄,なわ,nawa
苗代,なわしろ,nawashiro
縄跳び,なわとび,nawatobi
縄張り,なわばり,nawabari
難,なん,nan
南下,なんか,nanka
南海,なんかい,nankai
難関,なんかん,nankan
軟禁,なんきん,nankin
難儀,なんぎ,nangi
難癖,なんくせ,nankuse
軟骨,なんこつ,nankotsu
南国,なんごく,nangoku
難産,なんざん,nanzan
軟式,なんしき,nanshiki
南進,なんしん,nanshin
軟水,なんすい,nansui
南西,なんせい,nansei
難船,なんせん,nansen
南端,なんたん,nantan
難題,なんだい,nandai
難敵,なんてき,nanteki
南天,なんてん,nanten
何度,なんど,nando
荷揚げ,にあげ,niage
兄さん,にいさん,niisan
煮え湯,にえゆ,nieyu
膠,にかわ,nikawa
似顔絵,にがおえ,nigaoe
にがり,にがり,nigari
苦笑い,にがわらい,nigawarai
にきび,にきび,nikibi
肉,にく,niku
肉眼,にくがん,nikugan
憎しみ,にくしみ,nikushimi
肉親,にくしん,nikushin
肉声,にくせい,nikusei
肉体,にくたい,nikutai
肉薄,にくはく,nikuhaku
肉離れ,にくばなれ,nikubanare
肉筆,にくひつ,nikuhitsu
