愛育,あいいく,aiiku
遺訓,いくん,ikun
藺草,いぐさ,igusa
池,いけ,ike
畏敬,いけい,ikei
生け垣,いけがき,ikegaki
生け簀,いけす,ikesu
生け贄,いけにえ,ikenie
生け花,いけばな,ikebana
意見,いけん,iken
威厳,いげん,igen
異国,いこく,ikoku
遺骨,いこつ,ikotsu
遺恨,いこん,ikon
以後,いご,igo
居心地,いごこち,igokochi
委細,いさい,isai
諍い,いさかい,isakai
遺作,いさく,isaku
勇み足,いさみあし,isamiashi
漁り火,いさりび,isaribi
胃酸,いさん,isan
居酒屋,いざかや,izakaya
いざこざ,いざこざ,izakoza
十六夜,いざよい,izayoi
医師,いし,ishi
石臼,いしうす,ishiusu
石おの,いしおの,ishiono
石垣,いしがき,ishigaki
意識,いしき,ishiki
石ころ,いしころ,ishikoro
石畳,いしだたみ,ishidatami
石段,いしだん,ishidan
石橋,いしばし,ishibashi
石綿,いしわた,ishiwata
威信,いしん,ishin
椅子,いす,isu
以西,いせい,isei
移籍,いせき,iseki
移設,いせつ,isetsu
緯線,いせん,isen
以前,いぜん,izen
磯,いそ,iso
急ぎ足,いそぎあし,isogiashi
磯松,いそまつ,isomatsu
遺族,いぞく,izoku
依存,いぞん,izon
板,いた,ita
遺体,いたい,itai
板壁,いたかべ,itakabe
委託,いたく,itaku
致し方,いたしかた,itashikata
いたち,いたち,itachi
痛手,いたで,itade
板の間,いたのま,itanoma
板挟み,いたばさみ,itabasami
板張り,いたばり,itabari
板前,いたまえ,itamae
異端,いたん,itan
医大,いだい,idai
韋駄天,いだてん,idaten
位置,いち,ichi
一案,いちあん,ichian
一意,いちい,ichii
一員,いちいん,ichiin
一丸,いちがん,ichigan
移築,いちく,ichiku
一群,いちぐん,ichigun
一撃,いちげき,ichigeki
一言,いちげん,ichigen
一期,いちご,ichigo
一座,いちざ,ichiza
一族,いちぞく,ichizoku
一存,いちぞん,ichizon
一団,いちだん,ichidan
一読,いちどく,ichidoku
